x,y,z,r,g,b,size,mag,dist_pc,name
12.282068520531608,21.510325062900847,23.473462521012078,1.0,0.9275559616088866,0.772945408821106,0.9700124,8.066113,34.12545580911781,
11.722778277167835,22.730496059953808,23.871331781141205,1.0,0.6795844634373983,0.42622615496317545,0.21093191,11.379289,34.98484618620662,
14.956692638249207,28.113572364677875,31.981698615150894,1.0,0.8763089497884115,0.6551554965972901,0.47400507,9.621085,45.13208007714005,
14.679529689501198,15.583969360157285,18.19384118915209,1.0,0.802173360188802,0.5578525352478028,0.55909073,9.2625885,28.0956322253007,
15.033298793389333,20.173605350450714,26.287472603712374,1.0,0.9323282432556153,0.7842795777320862,0.992529,8.016284,36.386888316232586,
22.58790772333788,14.581643604902279,26.06404181034916,1.0,0.6815833250681559,0.4274019559224447,0.23634543,11.132264,37.445589607189305,
21.492373700778906,14.114656327801805,26.888888913070573,1.0,0.8207984924316406,0.5822980213165283,0.42840907,9.840707,37.20427391477138,
33.3821437073777,4.498463100997903,36.762314498674016,1.0,0.8216189066569011,0.5833748149871827,0.31094694,10.536569,49.860520014039906,
12.482500421255676,0.44155801018055746,13.847901143386526,1.0,0.5798529545466106,0.36756056149800614,0.20670524,11.423243,18.648650254643325,
19.51946519544654,5.496000098386015,21.784106546249824,1.0,0.6558037519454956,0.41223750114440916,0.1730842,11.808713,29.761768035788336,
19.96646132869638,0.5089963820479171,30.17629623038881,1.0,0.8892998886108399,0.6820872354507446,0.6964907,8.785423,36.187394345150686,
9.617991826024387,12.933255802668198,27.26999321632318,1.0,0.9205772590637207,0.7563709902763367,1.0684555,7.856218,31.676922237506517,
15.426209720364653,12.334555983920477,29.96754422328326,1.0,0.663787579536438,0.41693387031555174,0.21388407,11.349108,35.89098667397678,
7.708295658890907,8.034697211499303,20.707069614780778,1.0,0.6309826056162516,0.3976368268330892,0.20014162,11.493313,23.510782915010047,
3.7672575411991143,12.026264531608243,25.09227261772412,1.0,0.8009071350097656,0.5561906147003174,0.53869325,9.343292,28.07927016658602,
3.60481297156261,16.173754482455198,35.40450019100157,0.9776903343200684,0.9674365552266438,0.9615483283996582,2.2221947,6.2660894,39.0904546455182,
12.951510435027677,17.305937401248404,39.39744377467353,1.0,0.9254182052612304,0.7678682374954223,0.7283146,8.688405,44.93768649878542,
3.9487391356518566,7.808511710141918,24.306800066174382,1.0,0.797289784749349,0.5514428424835205,0.5688903,9.224857,25.83381360437957,
19.131922029593664,3.509649434750589,43.41845870493553,0.9909651947021484,0.9630116017659505,0.8951740264892578,1.7185674,6.8241673,47.57636635992169,
4.1449008171551,6.231382066684706,24.464293363532022,1.0,0.674628718694051,0.42331101099650065,0.29522428,10.64924,25.58343165062126,
2.451247521100839,3.798571127880029,15.303110154992465,1.0,0.6665953079859416,0.418585475285848,0.331429,10.398047,15.956908768276527,
6.765178460227804,9.440842727496422,40.392641902654965,1.0,0.7009026368459066,0.43876625696818033,0.21378209,11.350143,42.02930728527619,
7.516771879751891,3.42944430735338,29.20590631700784,1.0,0.6518146753311157,0.4098909854888916,0.1775587,11.75329,30.35206601777391,
-14.228280622122723,14.74314880629561,14.993652065910341,1.0,0.9295890045166015,0.7777738857269287,1.2701135,7.4807873,25.389249860128324,
-16.36573758855126,1.523005571971696,16.49881079456542,0.9953345012664795,0.9615551662445068,0.8733274936676025,2.1638389,6.3238754,23.28878851345524,
-22.483299519019447,11.826105985393975,24.925173345432288,1.0,0.6280238310496012,0.3958963712056478,0.17759053,11.752901,35.589602503253104,
-12.539870353658687,9.61951888202734,13.085125485068728,1.0,0.6365121364593506,0.4008894920349121,0.24068,11.0928,20.51838202608197,
-24.252408519041044,20.379456822559554,27.501801929178402,1.0,0.911412353515625,0.7346043395996094,0.5986751,9.114044,41.950574354933266,
-15.140932215020383,12.133003180906806,20.16103457482969,1.0,0.8208171844482421,0.5823225545883179,0.69380563,8.793811,27.980795372097894,
-18.008127450897252,14.732250527090052,24.76162400039093,1.0,0.6946674585342407,0.43509850502014163,0.26680818,10.869004,33.97749082874485,
-14.205383336663575,9.372836652989541,19.331067639164903,1.0,0.6216367959976197,0.39213929176330564,0.16710757,11.885019,25.755254973211816,
-18.453754915825865,11.500565279783826,25.182272183141187,1.0,0.946628589630127,0.8182429003715516,1.2209371,7.5665336,33.2708717131629,
-17.338970354517006,4.065616188591256,20.38087793360235,1.0,0.6734388589859008,0.42261109352111814,0.25050163,11.005947,27.065648214889553,
-28.460838725201754,13.016597900457363,34.80924255690389,0.9980775547027588,0.9606408150990804,0.859612226486206,1.2922593,7.4432516,46.80955596061026,
